INFO:root:Epoch: 090 |Batch: 000 | loss: 0.590884 | reconstruction_loss: 0.349400 | z_kl_loss: 0.241484 | accu: 0.942456 Binary_Cross_Entropy:0.3494001030921936.   KL-D:0.24148383736610413.
INFO:root:Epoch: 091 |Batch: 000 | loss: 0.575404 | reconstruction_loss: 0.349535 | z_kl_loss: 0.225869 | accu: 0.942433 Binary_Cross_Entropy:0.3495352566242218.   KL-D:0.22586862742900848.
INFO:root:Epoch: 092 |Batch: 000 | loss: 0.558102 | reconstruction_loss: 0.349547 | z_kl_loss: 0.208555 | accu: 0.942413 Binary_Cross_Entropy:0.34954747557640076.   KL-D:0.20855481922626495.
INFO:root:Epoch: 093 |Batch: 000 | loss: 0.539891 | reconstruction_loss: 0.349158 | z_kl_loss: 0.190733 | accu: 0.942445 Binary_Cross_Entropy:0.3491583466529846.   KL-D:0.19073250889778137.
INFO:root:Epoch: 094 |Batch: 000 | loss: 0.522513 | reconstruction_loss: 0.349301 | z_kl_loss: 0.173212 | accu: 0.942427 Binary_Cross_Entropy:0.34930092096328735.   KL-D:0.17321209609508514.
INFO:root:Epoch: 095 |Batch: 000 | loss: 0.505754 | reconstruction_loss: 0.349255 | z_kl_loss: 0.156500 | accu: 0.942465 Binary_Cross_Entropy:0.34925466775894165.   KL-D:0.15649953484535217.
INFO:root:Epoch: 096 |Batch: 000 | loss: 0.490085 | reconstruction_loss: 0.349198 | z_kl_loss: 0.140887 | accu: 0.942515 Binary_Cross_Entropy:0.34919822216033936.   KL-D:0.14088664948940277.
INFO:root:Epoch: 097 |Batch: 000 | loss: 0.475837 | reconstruction_loss: 0.349311 | z_kl_loss: 0.126526 | accu: 0.942546 Binary_Cross_Entropy:0.349310964345932.   KL-D:0.12652617692947388.
INFO:root:Epoch: 098 |Batch: 000 | loss: 0.462526 | reconstruction_loss: 0.349047 | z_kl_loss: 0.113479 | accu: 0.942558 Binary_Cross_Entropy:0.34904712438583374.   KL-D:0.11347930878400803.
INFO:root:Epoch: 099 |Batch: 000 | loss: 0.450492 | reconstruction_loss: 0.348749 | z_kl_loss: 0.101744 | accu: 0.942552 Binary_Cross_Entropy:0.3487485647201538.   KL-D:0.10174360126256943.
INFO:root:Epoch: 100 |Batch: 000 | loss: 0.440340 | reconstruction_loss: 0.349069 | z_kl_loss: 0.091271 | accu: 0.942594 Binary_Cross_Entropy:0.3490689694881439.   KL-D:0.0912710651755333.
INFO:root:Epoch: 101 |Batch: 000 | loss: 0.430843 | reconstruction_loss: 0.348855 | z_kl_loss: 0.081989 | accu: 0.942625 Binary_Cross_Entropy:0.3488548696041107.   KL-D:0.0819886177778244.
INFO:root:Epoch: 102 |Batch: 000 | loss: 0.422436 | reconstruction_loss: 0.348640 | z_kl_loss: 0.073796 | accu: 0.942709 Binary_Cross_Entropy:0.34864020347595215.   KL-D:0.07379623502492905.
INFO:root:Epoch: 103 |Batch: 000 | loss: 0.415535 | reconstruction_loss: 0.348950 | z_kl_loss: 0.066585 | accu: 0.942755 Binary_Cross_Entropy:0.3489500880241394.   KL-D:0.06658456474542618.
INFO:root:Epoch: 104 |Batch: 000 | loss: 0.409190 | reconstruction_loss: 0.348948 | z_kl_loss: 0.060242 | accu: 0.942841 Binary_Cross_Entropy:0.3489481508731842.   KL-D:0.060241520404815674.
INFO:root:Epoch: 105 |Batch: 000 | loss: 0.402588 | reconstruction_loss: 0.347926 | z_kl_loss: 0.054662 | accu: 0.942904 Binary_Cross_Entropy:0.34792593121528625.   KL-D:0.054661866277456284.
INFO:root:Epoch: 106 |Batch: 000 | loss: 0.399858 | reconstruction_loss: 0.350128 | z_kl_loss: 0.049729 | accu: 0.943210 Binary_Cross_Entropy:0.3501284718513489.   KL-D:0.04972931370139122.
INFO:root:Epoch: 107 |Batch: 000 | loss: 0.394246 | reconstruction_loss: 0.348811 | z_kl_loss: 0.045435 | accu: 0.943307 Binary_Cross_Entropy:0.3488113284111023.   KL-D:0.045434895902872086.
INFO:root:Epoch: 108 |Batch: 000 | loss: 0.414054 | reconstruction_loss: 0.372458 | z_kl_loss: 0.041596 | accu: 0.941471 Binary_Cross_Entropy:0.3724583387374878.   KL-D:0.041596151888370514.
INFO:root:Epoch: 109 |Batch: 000 | loss: 0.399229 | reconstruction_loss: 0.348574 | z_kl_loss: 0.050655 | accu: 0.943625 Binary_Cross_Entropy:0.34857428073883057.   KL-D:0.05065450817346573.
INFO:root:Epoch: 110 |Batch: 000 | loss: 0.423218 | reconstruction_loss: 0.348497 | z_kl_loss: 0.074721 | accu: 0.943647 Binary_Cross_Entropy:0.3484967350959778.   KL-D:0.07472112029790878.
INFO:root:Epoch: 111 |Batch: 000 | loss: 0.455971 | reconstruction_loss: 0.349120 | z_kl_loss: 0.106851 | accu: 0.943605 Binary_Cross_Entropy:0.3491198420524597.   KL-D:0.10685105621814728.
INFO:root:Epoch: 112 |Batch: 000 | loss: 0.490072 | reconstruction_loss: 0.348852 | z_kl_loss: 0.141219 | accu: 0.943433 Binary_Cross_Entropy:0.3488520383834839.   KL-D:0.14121949672698975.
INFO:root:Epoch: 113 |Batch: 000 | loss: 0.521946 | reconstruction_loss: 0.348844 | z_kl_loss: 0.173102 | accu: 0.943065 Binary_Cross_Entropy:0.34884390234947205.   KL-D:0.17310236394405365.
INFO:root:Epoch: 114 |Batch: 000 | loss: 0.547899 | reconstruction_loss: 0.348794 | z_kl_loss: 0.199105 | accu: 0.942658 Binary_Cross_Entropy:0.3487936556339264.   KL-D:0.1991049200296402.
INFO:root:Epoch: 115 |Batch: 000 | loss: 0.566461 | reconstruction_loss: 0.349094 | z_kl_loss: 0.217367 | accu: 0.942449 Binary_Cross_Entropy:0.34909379482269287.   KL-D:0.21736736595630646.
